1) a = -9 | b = -9 | c = 0

2) a = -9 | b = -8.1 | c = 8.1

3) a = -9 | b = -7.2 | c = 0

4) a = -9 | b = -6.3 | c = 0

5) a = -9 | b = -6.3 | c = 2.7

6) a = -9 | b = -4.5 | c = 0

7) a = -9 | b = -4.5 | c = 4.5

8) a = -9 | b = -3.6 | c = 0

9) a = -9 | b = -1.8 | c = 0

10) a = -9 | b = -0.9 | c = 0

11) a = -9 | b = 0 | c = 0

12) a = -9 | b = 0 | c = 9

13) a = -9 | b = 0.9 | c = 0

14) a = -9 | b = 1.8 | c = 0

15) a = -9 | b = 3.6 | c = 0

16) a = -9 | b = 4.5 | c = 0

17) a = -9 | b = 4.5 | c = 4.5

18) a = -9 | b = 6.3 | c = 0

19) a = -9 | b = 6.3 | c = 2.7

20) a = -9 | b = 7.2 | c = 0

21) a = -9 | b = 8.1 | c = 8.1

22) a = -9 | b = 9 | c = 0

23) a = -8.9 | b = -8.9 | c = 0

24) a = -8.9 | b = 0 | c = 0

25) a = -8.9 | b = 0 | c = 8.9

26) a = -8.9 | b = 8.9 | c = 0

27) a = -8.8 | b = -8.8 | c = -2.2

28) a = -8.8 | b = -8.8 | c = 0

29) a = -8.8 | b = -8.8 | c = 6.6

30) a = -8.8 | b = -6.6 | c = 2.2

31) a = -8.8 | b = -6.6 | c = 5.5

32) a = -8.8 | b = -4.4 | c = 0

33) a = -8.8 | b = -2.2 | c = 0

34) a = -8.8 | b = 0 | c = 0

35) a = -8.8 | b = 0 | c = 2.2

36) a = -8.8 | b = 0 | c = 8.8

37) a = -8.8 | b = 2.2 | c = 0

38) a = -8.8 | b = 4.4 | c = 0

39) a = -8.8 | b = 6.6 | c = 2.2

40) a = -8.8 | b = 6.6 | c = 5.5

41) a = -8.8 | b = 8.8 | c = -2.2

42) a = -8.8 | b = 8.8 | c = 0

43) a = -8.8 | b = 8.8 | c = 6.6

44) a = -8.7 | b = -8.7 | c = 0

45) a = -8.7 | b = 0 | c = 0

46) a = -8.7 | b = 0 | c = 8.7

47) a = -8.7 | b = 8.7 | c = 0

48) a = -8.6 | b = -8.6 | c = 0

49) a = -8.6 | b = -4.3 | c = 0

50) a = -8.6 | b = 0 | c = 0

51) a = -8.6 | b = 0 | c = 8.6

52) a = -8.6 | b = 4.3 | c = 0

53) a = -8.6 | b = 8.6 | c = 0

54) a = -8.5 | b = -8.5 | c = 0

55) a = -8.5 | b = -5.1 | c = 0

56) a = -8.5 | b = -3.4 | c = 5.1

57) a = -8.5 | b = 0 | c = 0

58) a = -8.5 | b = 0 | c = 8.5

59) a = -8.5 | b = 3.4 | c = 5.1

60) a = -8.5 | b = 5.1 | c = 0

61) a = -8.5 | b = 8.5 | c = 0

62) a = -8.4 | b = -8.4 | c = -2.1

63) a = -8.4 | b = -8.4 | c = 0

64) a = -8.4 | b = -8.4 | c = 6.3

65) a = -8.4 | b = -6.3 | c = 0

66) a = -8.4 | b = -6.3 | c = 2.1

67) a = -8.4 | b = -4.2 | c = 0

68) a = -8.4 | b = -2.1 | c = 0

69) a = -8.4 | b = -2.1 | c = 6.3

70) a = -8.4 | b = 0 | c = 0

71) a = -8.4 | b = 0 | c = 2.1

72) a = -8.4 | b = 0 | c = 8.4

73) a = -8.4 | b = 2.1 | c = 0

74) a = -8.4 | b = 2.1 | c = 6.3

75) a = -8.4 | b = 4.2 | c = 0

76) a = -8.4 | b = 6.3 | c = 0

77) a = -8.4 | b = 6.3 | c = 2.1

78) a = -8.4 | b = 8.4 | c = -2.1

79) a = -8.4 | b = 8.4 | c = 0

80) a = -8.4 | b = 8.4 | c = 6.3

81) a = -8.3 | b = -8.3 | c = 0

82) a = -8.3 | b = 0 | c = 0

83) a = -8.3 | b = 0 | c = 8.3

84) a = -8.3 | b = 8.3 | c = 0

85) a = -8.2 | b = -8.2 | c = 0

86) a = -8.2 | b = -4.1 | c = 0

87) a = -8.2 | b = 0 | c = 0

88) a = -8.2 | b = 0 | c = 8.2

89) a = -8.2 | b = 4.1 | c = 0

90) a = -8.2 | b = 8.2 | c = 0

91) a = -8.1 | b = -8.1 | c = 0

92) a = -8.1 | b = 0 | c = 0

93) a = -8.1 | b = 0 | c = 8.1

94) a = -8.1 | b = 8.1 | c = 0

95) a = -8 | b = -8.8 | c = 0

96) a = -8 | b = -8.8 | c = 2.7

97) a = -8 | b = -8.8 | c = 6.4

