1) d = 81 | x1 = -1.0 | x2 = 0

2) d = 357.21 | x1 = -1.5 | x2 = 0.6

3) d = 51.84 | x1 = -0.8 | x2 = 0

4) d = 39.69 | x1 = -0.7 | x2 = 0

5) d = 136.89 | x1 = -1.0 | x2 = 0.3

6) d = 20.25 | x1 = -0.5 | x2 = 0

7) d = 182.25 | x1 = -1.0 | x2 = 0.5

8) d = 12.96 | x1 = -0.4 | x2 = 0

9) d = 3.24 | x1 = -0.2 | x2 = 0

10) d = 0.81 | x1 = -0.1 | x2 = 0

11) d = 0 | x1 = 0 | x2 = 0

12) d = 324 | x1 = -1.0 | x2 = 1.0

13) d = 0.81 | x1 = 0 | x2 = 0.1

14) d = 3.24 | x1 = 0 | x2 = 0.2

15) d = 12.96 | x1 = 0 | x2 = 0.4

16) d = 20.25 | x1 = 0 | x2 = 0.5

17) d = 182.25 | x1 = -0.5 | x2 = 1.0

18) d = 39.69 | x1 = 0 | x2 = 0.7

19) d = 136.89 | x1 = -0.3 | x2 = 1.0

20) d = 51.84 | x1 = 0 | x2 = 0.8

21) d = 357.21 | x1 = -0.6 | x2 = 1.5

22) d = 81 | x1 = 0 | x2 = 1.0

23) d = 79.21 | x1 = -1.0 | x2 = 0

24) d = 0.0 | x1 = 0 | x2 = 0

25) d = 316.84 | x1 = -1.0 | x2 = 1.0

26) d = 79.21 | x1 = 0 | x2 = 1.0

27) d = 0.0 | x1 = -0.5 | x2 = -0.5

28) d = 77.44 | x1 = -1.0 | x2 = 0

29) d = 309.76 | x1 = -1.5 | x2 = 0.5

30) d = 121.0 | x1 = -1.0 | x2 = 0.25

31) d = 237.16 | x1 = -1.25 | x2 = 0.5

32) d = 19.36 | x1 = -0.5 | x2 = 0

33) d = 4.84 | x1 = -0.25 | x2 = 0

34) d = 0.0 | x1 = 0 | x2 = 0

35) d = 77.44 | x1 = -0.5 | x2 = 0.5

36) d = 309.76 | x1 = -1.0 | x2 = 1.0

37) d = 4.84 | x1 = 0 | x2 = 0.25

38) d = 19.36 | x1 = 0 | x2 = 0.5

39) d = 121.0 | x1 = -0.25 | x2 = 1.0

40) d = 237.16 | x1 = -0.5 | x2 = 1.25

41) d = 0.0 | x1 = 0.5 | x2 = 0.5

42) d = 77.44 | x1 = 0 | x2 = 1.0

43) d = 309.76 | x1 = -0.5 | x2 = 1.5

44) d = 75.69 | x1 = -1.0 | x2 = 0

45) d = 0.0 | x1 = 0 | x2 = 0

46) d = 302.76 | x1 = -1.0 | x2 = 1.0

47) d = 75.69 | x1 = 0 | x2 = 1.0

48) d = 73.96 | x1 = -1.0 | x2 = 0

49) d = 18.49 | x1 = -0.5 | x2 = 0

50) d = 0.0 | x1 = 0 | x2 = 0

51) d = 295.84 | x1 = -1.0 | x2 = 1.0

52) d = 18.49 | x1 = 0 | x2 = 0.5

53) d = 73.96 | x1 = 0 | x2 = 1.0

54) d = 72.25 | x1 = -1.0 | x2 = 0

55) d = 26.01 | x1 = -0.6 | x2 = 0

56) d = 184.96 | x1 = -1.0 | x2 = 0.6

57) d = 0.0 | x1 = 0 | x2 = 0

58) d = 289.0 | x1 = -1.0 | x2 = 1.0

59) d = 184.96 | x1 = -0.6 | x2 = 1.0

60) d = 26.01 | x1 = 0 | x2 = 0.6

61) d = 72.25 | x1 = 0 | x2 = 1.0

62) d = 0.0 | x1 = -0.5 | x2 = -0.5

63) d = 70.56 | x1 = -1.0 | x2 = 0

64) d = 282.24 | x1 = -1.5 | x2 = 0.5

65) d = 39.69 | x1 = -0.75 | x2 = 0

66) d = 110.25 | x1 = -1.0 | x2 = 0.25

67) d = 17.64 | x1 = -0.5 | x2 = 0

68) d = 4.41 | x1 = -0.25 | x2 = 0

69) d = 216.09 | x1 = -1.0 | x2 = 0.75

70) d = 0.0 | x1 = 0 | x2 = 0

71) d = 70.56 | x1 = -0.5 | x2 = 0.5

72) d = 282.24 | x1 = -1.0 | x2 = 1.0

73) d = 4.41 | x1 = 0 | x2 = 0.25

74) d = 216.09 | x1 = -0.75 | x2 = 1.0

75) d = 17.64 | x1 = 0 | x2 = 0.5

76) d = 39.69 | x1 = 0 | x2 = 0.75

77) d = 110.25 | x1 = -0.25 | x2 = 1.0

78) d = 0.0 | x1 = 0.5 | x2 = 0.5

79) d = 70.56 | x1 = 0 | x2 = 1.0

80) d = 282.24 | x1 = -0.5 | x2 = 1.5

81) d = 68.89 | x1 = -1.0 | x2 = 0

82) d = 0.0 | x1 = 0 | x2 = 0

83) d = 275.56 | x1 = -1.0 | x2 = 1.0

